,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
7091,2,"Macy ( Calico ), Madrid & Mike ( Tabby)",5,266,265,3,2,6,7,1,2,1,1,2,1,3,120,41326,4dfbce79fe95950f840c4509959ec851,0,"Macy, Madrid and Mike were taken from a multi cats household . Initially they have earmites and Mange but now have been nursed to health . They are all very playful and love being pet . Macy and Madrid are sibling and must be adopted together . Macy : very sweet in nature and a little clumsy .will rub your legs when she sees you . Madrid : intelligent( I suspect he is the master mind ) good at playing ball . Quiet and a little shy but love to play and enjoy being pet . Need some time to warm up . Mike : short hair tabby with a build in Purr motor that often demands your attention . Vocal , adventurous , outgoing and great with kids . The fees charged are for sterilisation and medical cost only . I will chip in the balance . Adopter must undertake to complete the vaccinations and providing regular update on them . Their second vaccination is due on 9 April and would be ready to be spayed/ neautered .",1b1fdfd71,9.0,4
4570,2,"Penny, Hershey, Olaf And Audrey",4,266,0,3,1,2,4,2,1,2,2,2,1,4,0,41326,49e1f030bf4498092b02afb289cca428,3,"Audrey, Hershey, Olaf and Penny are looking for their forever homes in exchange for loads of purrs and playtime! They deserve serious adopters who can offer them good homes and comfort. Can be adopted separately. Audrey (~2 years) will be vaccinated and spayed before handed over to adopter. No adoption fees however a few conditions apply: 1) To be kept indoors. 2) The kittens need to be spayed/neutered when they reach the right age. They also need to be vaccinated (3 shots in the 1st year). 3) Adopters need to be experienced in taking care of cats.",b574af70f,6.0,2
5511,2,Ms Black New Kittens,2,254,243,3,1,6,7,3,2,2,1,2,1,3,0,41401,0eb58d0e34d148e77e79fadd2460f393,0,"They are playful, yard potty trained and eating biscuits/kibbles. Can someone please help in adopting these kittens as I do not live in the area anymore, try and go to feed them every couple days but today was told by security that Management said that the cats and kittens are not to be fed any more. Pleaseee help these kittens. They are in Mont Kiara on second thoughts, I think they are about to be put down.",3ff23c65c,4.0,4
6248,1,Abandoned Puppy - Klang,2,307,0,2,5,0,0,2,1,2,2,2,1,2,0,41326,cb7bbc9026aa264017b555c8afa757bb,0,Found Peanut and Muffin and 2 of her siblings abandoned in the field infront of our house. I managed to found owner for her 2 brothers but sadly no one respond for her and her sister Muffin. Peanut have natural born short rabbit tail and Muffin is with long tail. they are both very very cute. Sadly i wont be able to keep them as we already owned 2 dogs at home. Please feel free to contact me if you are interested. Condition to adopt: have a loving heart :),0529ad4d9,4.0,0
12693,1,LITTLE DOTS,2,307,0,2,1,7,0,2,1,1,1,2,1,4,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,This 4 cuties are in the care of the doctor hoping to get a loving family to adopt them. They are about 2 months old and all are little girls... they can eat on their own.,3f169c299,12.0,2
3297,1,Scott & Tyler,84,152,205,1,1,2,7,1,1,1,1,2,1,2,0,41326,fe6b58872037cf640f7be8b7b7f48bb6,0,"Scott - Miniature Pinscher Scott is a spirited, lively dog. Once he gets to know you he is extremely loyal and obedient. He loves for human contact and you will often find him rubbing up against your leg. He loves running around in the garden and sunbathing. Scott needs soft bedding and a loving home and family to go to. Tyler - Shih Tzu Tyler's favourite past time is lounging in front of air-cond and underneath a fan. He does not need much exercise and is very low maintenance, just be sure to brush his hair and keep his fur dry and clean. Tyler is a great companion and will follow you everywhere. He enjoys belly rubs and loves slipping into little corners or under the coffee table for a nap. *As pet owners, we hope you understand that we would love for Scott and Tyler to go to a loving home together. This move to a new home is sad, but necessary, so we hope to make it easier on our babies by keeping them together. Thank you for understanding! :) *More photos available upon request Love, Emily + Michelle + Sharon",380eaa884,11.0,2
134,2,JackJack (Black)& Turtle (Tor.shell,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,41332,9bccd71913b5034beb2b56fbc09ad6bb,0,JackJack black male kitten. Turtle tortoiseshell female kitten Interested please contact me at thanks!,0b819602d,2.0,4
771,2,Tom & Jerry,4,265,299,1,3,5,7,2,2,1,1,2,1,2,0,41401,0dd64a1285d0efc6e32098d0a87ccbab,0,"Both of them doesn't come with the same mother,I found Tom abandoned in a box with his 3 siblings, at that time,they are only less than one month old. But now, Tom is back to helth and became a superrrrrr loving and manja cat. Love being touch,hug and sayang. While Jerry was also found in a box with his siblings shortly after 2 weeks I adopted Tom. He is 2 weeks older than Tom. After I adopted him, he and Tom immediately became best friend and playmate for each other.They are trained to use litter box for pee pee and poo poo. Reason to let go : Currently working oustation and might go overseas to study vet in the end of this year. But I love them soooo much😢 So I hope to find someone to love them like I do. MAKE SURE U ARE ABLE TO KEEP THEM IN DOOR ALL THE TIME.😊 * THEY HAVE TO BE ADOPTED IN PAIR!!!TOGETHER!!! I strongly suggest you to adopt them tgt, its easier as they always play with each other and give u less trouble at home.😊",a0cc9df12,11.0,2
2694,2,4 Cute Kittens,1,254,0,3,1,6,7,1,1,2,2,2,1,4,0,41326,7f775599424043c53ea9acf74a902c91,0,"Hey! These 4 little kittens are thought to have been abandoned behind my house. I heard them meowing and I took them in for the night and found them a foster. I'm looking to get these little guys adopted out to loving families. They're about three weeks old, their teeth are only just coming in so they eat some wet food and love milk. I would like it if whoever adopts them promises to spay and neuter them when they're old enough.",872d79999,4.0,1
9472,2,Jenny & Her Babies,16,265,266,3,3,4,5,2,2,1,1,2,1,3,0,41326,afd29fcaf7533852bd7c8b3599e6744a,0,Jenny gave birth to Moon (orangy) and River (grey-ish) about 2 months plus ago. I would like for them to be adopted as a family.,1adf071b0,4.0,2
9327,2,Georgeous And Fabulous,11,292,299,2,7,0,0,1,1,2,1,1,1,2,0,41326,49703fba484be3f727f0c3223a49b9ed,0,They are twins white cat. Very manja cats... If possible i do not want to separate them. They are small in size and prefer to eat dry food. They are also house cats and very clean. Fabulous is slightly slimmer than georgeous...,086e528f0,3.0,4
13899,1,Magnificent 7,2,307,0,3,1,2,7,2,1,2,2,2,1,7,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,"these pups were sent in a box and left at the veterinary clinic... at the door step. Any way it is not for us to blame but to find them a good home. please, if you can adopt these little babies, desperately need some tender loving care... TLC. thanks",6282ddf87,12.0,3
606,1,Bonnie And Clyde,2,307,307,3,2,0,0,2,1,2,2,2,1,2,0,41401,3e7af740ebbb62b9f9263af775d1fa5f,0,Please feel free to contact us : Stuart,f99a5e817,1.0,4
5110,2,*No Name*,1,265,0,3,2,3,6,2,2,2,2,2,1,4,0,41326,9c0c5da5578c6c3d6bed509d6f50e428,0,"Urgent!!!!!!!!Minta sesiapa yg prihatin tlg adopt these kittens and the mother. kami sudah buat yg terdaya dgn kasi makan and protect them. Mak kucing melahirkan anak di hadapan rumah sy - to be precise dlm electricity visor room (bilik elektrik). Now kitten tu sume dah pandai makan sendiri. My neighbour complained to Management Ofc and today cleaner dtg nak buang anak kucing tu. I called Management Ofc, merayu2 and asked them to wait for a few more days so that we can find adopter for them... - kami diberi masa sehingga Khamis pagi. if no adopter, kucing-kucing tu semua akan dibuang. Tolong sesangat kepada semua selamatkan kucing-kucing ni. Apartment kami melarang jaga pets and some more isteri sy baru pregnant. Cleaner informed yg the mother dah melahirkan anak berkali-kali and semua dibuang. Sy akan tanggung kos spay ibu kucing tu. Kitten tu sume healthy, comel2 & jinak. Ibunye cantik if jaga betul2 coz semi-long hair and fluffy. Apalah nasib mereka di jalanan nanti , luluh hati bila dibayangkan. Tinggalkan comment di sini and sy akan reply. Wassalam.",46feadc45,5.0,1
11560,2,Batman & Baby,5,266,0,2,1,5,7,2,1,2,2,1,1,2,0,41326,59f490da520517b06790f5f29f8870a5,0,"Batman & Baby are stray cats that like to lepak at my house after their mom (adopted by my neighbor) got pregnant (again). Both are litter box trained and has been spayed. They are very playful and very affectionate. I already owned by 2 bunnies, hence, not able to keep them permanently. Please PM for any queries and hopefully both of them can find forever home.",9510b7eba,5.0,2
7379,1,Milky & Mimi,3,307,307,3,1,7,0,1,1,2,2,2,1,2,0,41326,1c877b535a44551da788d3d85e7376d2,0,"I was found them at the street in the evening night, they are brother & sister which I think is dumped by their owner nearby seri kembangan. I was unable to adopt them coz i aready has my pet, they’re high commitment for me due unemployee at the moments. I hope someone that are full with love, passionte , patience with puppies, and experience handle puppies. They are smart and fast learner, command Sit is well learn. And many more that you can teach if you are interesting for this puppies.",2d584af81,3.0,4
11946,1,Chihuahua Mix Pups,3,60,307,1,1,3,0,1,1,2,2,2,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,This two chihuahua cross pups are brothers. The golden one is timid with strangers and will bark. The black one is the strong silent one and will observe. Adopters must vaccinate and neuter them. Please call if interested.,87554ea1f,2.0,2
8282,2,Midot And Spotty,3,266,0,1,1,7,0,1,1,2,2,2,1,2,0,41326,35cf9c3e7697cb18c16d8da677b86574,0,"Midot is a shortcut for mini dotty.. got the name coz he is exactly like his mother named dotty.. got 2 black dots on his right side like a 'pig nose' hehe.. my friend asked me to name him 'lil piggy' but i think midot is bettter ;) he is very playful and active.. kinda small but eat a lot.. he likes to eat ayam especially d tulang.. Spotty is a very manja kitten... once u rub him, he will fall asleep.. quite big compared to midot.. got a big belly ;) playful and friendly.. also like to eat ayam and d tulang..always rebut wit midot for d tulang ayam haha.. Both are male and potty trained... born on 29th feb... act it is hard for me to give them away since they are so manje and a very good kitten but my mom bising already coz currently there are 5 cats including them.. huhuhu :( i hope whoever want to adopt them will LOVE!!! them and take a good care of them..",fd8bb16c6,23.0,2
9924,1,Da May & Xiao May,4,307,307,2,1,2,4,2,2,1,1,2,1,2,0,41326,b6d8cb8933412e5e98587d6df64de1ac,0,Must adopt together,c1da8c2de,2.0,2
914,2,"Mokey Jr, Jayden, Jack Jr",2,266,0,3,1,4,6,1,1,2,2,2,1,3,0,41326,b83f8e5564176a40d05a6f395843ae85,0,"Momi kucing beranak di depan pintu rumah saya pada bulan puasa yg lalu (3/) sebanyak 5 ekor anak kucing yang comel-comel. 2 ekor telah mendapat tuan (adopted). Saya masih mencari tuan/rumah yang baru untuk 3 ekor anak kucing. Saya sangat berharap ada yang sudi untuk adopt samada, seekor atau 2 atau 3 ekor sekali. untuk pertanyaan/yang berminat, sila sms/whatsapp. Haliza, tel: . 1. Jack, hitam-putih, probably male 2. Jayden, calico (3 warna), female 3. Mokey, gray belang2, probably male Harap anda dapat fikirkan kebajikan si comel ini sebelum anda buat keputusan untuk adopt. Please send kitten(s) to vet for health check up, deworm as well as vaccination. Lokasi anak-anak kucing ialah di Ampang. Self picked, sekiranya ingin adopt. Believe me, they are so adorable!! ""ADOPT, DON'T BUY"" Terima kasih.",fbed8fc1a,9.0,2
13492,1,Doge And Friends,1,307,307,3,2,3,6,1,1,2,2,3,1,6,0,41326,2ae41b8902b168368019806935c43b7b,1,"One Month Old Puppies looking for A Home. They are smart, cute and will love you unconditionally. Please Help them to get a Home !! :D If you plan to adopt a dog, please make sure to take good care of them. :D",9b9cadd98,5.0,3
8312,1,Mandy @ Mindy,12,307,0,2,5,6,0,2,2,1,1,1,1,2,150,41401,9238e4f44c71a75282e62f7136c6b240,0,"Both of them was dumped at the market since they were 2 months old, then survive from parvo, is fully recover now, healthy and active, looking for a forever home. Only for serious adopter, please call or sms for more details, thanks!",bff5e06f5,8.0,4
3027,2,Twins !! - Rese,1,265,0,3,6,7,0,2,2,2,2,2,1,2,0,41326,cfb5e477dc43e90c78f0d7fb6d215833,0,"These kittens were born at my house. BUT we don't even own a cat !! So one fine day someone seem to have dumped this beautiful female cat around here and she got herself attached to us since we feed other strays. Fast forward >>> the mama cat pretty much made herself home here and gave birth to these kitties. These two kittens are like fraternal twins ! They've been behaving pretty good so far. Kitty Profile D.O.B : 14 December am > Gender : Female and Male -Fur Colour : White with Grey Patches (Pastel) -Fur Length : Not short not long. Medium.Fluffy ! -Eye Colour : Grey(now),Yellow-Gold(at maturity) -Tail type : 1)Extra Long Fluffy(female) 2)Long chunky(male) -Body Type : 1)Light weight,Tall(female), 2)Heavy/Chubby,Tall(male) -Face Type : 1)Big Ears,sharper face(female) 2)Round Face(Male) -Temperament: 1)Gentle to Playful(female) 2)Playful to crazy(male) -Toilet Trained : YES -Health :Very Healthy. -Medical:No Record.They don't know clinics exist. -Food : Weaned!Fresh Food(whiskas packet) and mama's milk. *Mama cat still spoils them with milk ~***Intelligence : The sister is slightly more intelligent than the brother hahahahaa -Type Of Adopters We're looking for : *Responsible cat owners who're willing to give periodical updates on the kitten's progress. (I can't help but want to know how well the kittens are doing even after their adopted!) *Adopters with cat experience are preferred. -This adoption is not suitable for : *Renting in Students *First Time Cat owners (Newbies) *Trial cat owners",61c5987cd,25.0,1
4059,2,Max & Molly,3,266,0,3,7,0,0,2,1,2,1,2,1,2,0,41401,9b52af6d48a4521fd01d4028eb5879a3,0,"Both kittens are very healthy, playful. Molly (F) is larger and more active than Max (M). He is smaller and more docile. I prefer the kittens be adopted together so they can keep each other company when on their own.",8f9bfc9f4,30.0,2
10870,1,"Choco,Brownies,Pearl",2,141,307,3,1,2,0,2,2,2,2,2,1,3,50,41326,89e38f1dc3b54154d9f976e67012ecc6,0,"I am helping my friend to find adopters for her puppy. Choco,Brownies and Pearl is for adoption. Compulsory to 'SPAY/NEUTER' it at the right age. If you have any question, please email or PM me. Only 3 for adoption. She is keeping the other 2. 1 light color and 1 dark brown. Other 2 dark brown are female. Black is Male. This is the only picture I got and I can't get anymore pictures. Thank you :) Do contact Linda=",07e6b5eae,3.0,1
7813,2,Newborn *no Name,2,265,0,2,1,5,7,1,2,3,3,3,1,4,0,41401,2b7de4f5d42012b463e9c1a40d7bd7c3,0,"There are four newborn kittens need to be adopted. Interested adoption, kindly contact (Mr. Lim). 😊",25c48e7ff,2.0,4
12567,2,Mimi,18,285,266,1,3,0,0,2,3,1,1,2,1,2,0,41401,220365de42eebd098a2a1573110194a4,0,The two cats have been staying together since young. I hope the new owner will not separate them.,ab10e0e8c,2.0,2
4675,2,"Muncet, Merah",3,305,0,3,1,2,7,1,3,2,2,2,1,2,0,41326,7c2d74be49e46edf1b6ed464f136fdc5,0,Both of my kitten is so active and spoilt. I adopted them from this website (Petfinder) from a Chinese guy. My life have been so cheerful after i got these two angels :),d33f713d0,5.0,0
13925,2,Dhani & Dimsum,5,266,0,1,6,7,0,2,1,1,1,1,1,2,0,41326,5ef1a7fafa507773c3b7a5716de4d255,0,"Dhani : Male, Neutered Approx. 10 months old Dimsum : Male, Not-neutered Approx. 5 months old Both are vaccinated, litter-trained & indoor cats. Dhani was a stray that I used to feed at where I'm staying. I brought him back on 7th Nov after the management published a notice about complaints on animals in the compound. After less than a week under my care, Dhani fell from his bedroom window (5th floor) & broke his left leg very bad that it had to be amputated. Even with only 3 legs, Dhani is like a normal cat; manja, very active cat, likes to run around & plays a lot with other cats especially with Dimsum. Dimsum was rescued from a busy road in Klang on 3rd Dec . He gets along with most of other cats & is also very active. He likes to hang out with Dhani most of the time. Both are very playful. Dhani likes boxes & Dimsum likes to play fetch with his mouse toy. Potential adopters are encouraged to adopt both of them as they are very close with each other. And must also ensure that Dimsum will be neutered once he reach 6 months old.",473af1ce7,8.0,4
11322,1,Jack,2,307,0,3,2,4,7,1,1,3,3,3,1,3,0,41330,39bc0d4d83554ae09a4a3b31b88d9059,1,The puppy Borned outside our house front gate. We hope someone can come to adopt them. They are cute and healthy. I don’t want they die on the street. Thanks,14bbc5876,3.0,4
13711,1,FLUFFY,2,307,0,2,2,0,0,2,1,2,2,2,1,4,0,41332,0d635cb75d7c48b2da9fa0e47390b3aa,0,"FOR SERIOUS AND RESPONSIBLE ADOPTER ONLY Abandon puppy found around food court,but condition is very healthy. IRENE:(Call this number first)",ec7383d83,5.0,3
5815,1,Muffin & Candy: ; Thanks :-),2,307,0,3,1,2,0,3,1,2,1,2,1,2,50,41326,cb076d8ab7ea64284bfb0edbabd10f24,0,"2 cute puppies for adoption. Candy - Female; Light brown; Blue eyes Muffin - Male; Mixed black & brown; Black eyes ------------------------------------------------------------------------------------------------------------- Due to the overwhelming response from my last listing (I got close to emails/ sms/ calls), I am sorry but I need to lay down some ground rules. Thank you VERY VERY MUCH in advance for reading this listing and forwarding it to your friends and family. Apologies in advance if the Terms and Conditions set out below are a little ""harsh"", but I have gotten too many calls/ responses from very rude people, calls from people who do not even know that it is NOT OK to call people at 2am, etc. Also, our intentions are very simple: WE JUST WANT TO FIND GOOD HOMES FOR THE PUPPIES. ------------------------------------------------------------------------------------------------------------- TERMS AND CONDITIONS:- (1) Please DO NOT ask me what breed these are, they are stray puppies. If you want a pedigree Siberian Husky or Rottweiler, please visit your neighbourhood pet shop. (2) These are large breed dogs, they will grow into a standard size dog. They are not toy dogs, hence not suitable for those who live in an apartment/ condominium. (3) Please DO NOT delete my all these information and just forward the photos. I get too many people asking me for information which I have already given in the first place. (4) This listing is dated 13-May-. This is to manage your expectations on whether the puppy you fell in love with is still available. (5) We reside in Seri Kembangan, KL, near the Astro office (there is someone at home 95% of the time). Please only contact us if you are willing to come to our house to pick the puppies up. It will also mean that we get a chance to meet the new ""owners"" to see whether they are suitable for the puppies. We want to find good homes for the puppies and ensure that they do not get kicked out into the streets once they are grown and lose their cuteness. (6) Please do not adopt the puppies from us and resale them. We have lots of contacts. If you are trying to sell the puppies, we will know & we will catch you. (7) If you and your family members are interested to adopt, please get agreement from all members before contacting us. We do not want them to get kicked out into the streets because of one of your family member dislike them. Those who are interested and agreeable to the above 7 points, please read on:- (8) The puppies are free, but as a gesture of sincerity, we hope you can donate RM50 to either SPCA or PAWS. You can pass us the money when you pick up the puppy. We will donate on your behalf and mail you the receipt in your name. If for any reason you cannot afford this token donation, please let us know the reason why, we are very reasonable people. (9) You will need to let us know some basic information about yourself as follows (do include this info in your email):- - Name - Where you live and type of house - Who you live with - Some history on whether you have owned any dogs before (10) No reservations please. First come first served. (11) If your friend/ cousin/ girlfriend/ uncle/ husband/ aunt etc is the one interested to adopt, please ask him/ her to contact us directly. It is easier for all this way. (12) All who are interested, please send an email to . If you need clarifications, please call  or . Please leave me an SMS if you can't get me.",0ac2e7d16,20.0,1
3472,2,3 Cuties,4,266,0,3,1,3,7,2,1,2,2,2,1,3,0,41401,f28060525887e6f9e1f6489e08b61f49,0,"3 cuties looking for new loving home... mixed bread (daddy is persian, mom is DSH).. very active and playful",79f41f755,6.0,1
12847,1,Koala Bear,3,307,0,2,1,7,0,2,2,1,1,2,1,2,0,41326,016c990dbd956118df4407e14e8035de,0,Very cute...see pictures,65650b974,10.0,2
12451,2,Leo Kittens,1,266,0,3,1,2,3,1,1,2,2,2,1,4,0,41401,2d2e3bd09ed184c824d31fadc4233a25,0,"Hi, am looking sincere cat lover to adopt these 5 kittens. They mother gave birth at my house last month. Thus, they all are leo horoscope - hyperactive, generous and loyal. Hopefully someone wiling to take them home with love and care.",7aa0bcef5,3.0,4
3425,2,Kitties,1,285,265,3,1,6,7,2,1,2,2,2,1,5,0,41401,bc1f3c7db564d97f6c8822f24e97c435,0,"The kittens and their mother are quite healthy and playful.Have to given them away cuz my house already full with other cats. If u want to adopt, pls consider to take them all cuz the kiitens are 1 months old and are still breast feeding. =) but any adoption of 1 of these may be considered. thanks for viewing.",ebff4722c,6.0,2
6770,1,Oreo And The Bunch,1,307,0,3,1,2,7,2,2,1,1,2,1,5,0,41401,8e2207f744c7b5fe18f96aa72ba94ee1,0,"Hi everyone, These dogs (all around 1 month old) were found by the side of the road. Our friend Sam has rescued and treated them, and has been fostering them. He needs someone to adopt them for good. They are all adorable little balls of fur that are extremely friendly and playful! They need a loving family and home, please help! Note: There will be a fee to help cover the medicine and vaccination costs Sam already paid for. He also regularly takes in and treats stray dogs so feel free to donate a little extra if you feel kind and want to help the cause! :) Here is his number (he's not very good with technology and speaks mainly Chinese so I suggest you guys call instead of text): +",785a95244,5.0,3
9518,2,Blacky,1,265,0,1,1,7,0,2,2,2,2,2,1,2,0,41326,ee33246316d4f96e3e0deaca9273fcab,0,active and adorable kitten,64a40211a,3.0,4
3520,1,Hot Cross Buns,1,189,307,1,1,5,0,2,2,2,1,2,1,2,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,"2 adorable male pups rescued from USJ1 factory area. Suspected Rottweiler mix due to their face markings. They both have 'T' shape on their bodies, hence called the Hot Cross Buns. Adopters must commit to spaying the puppies. As they are still too young, I will bring interested adopters to my vet in Taipan, Subang where adopter shall pay the vet RM spaying fee(this is RESCUE RATE) and keep the receipt until the puppy is old enough to be spayed. Just bring the receipt back to the vet and the doctor will proceed to spay with no additional charge. Please contact me at for adoption.",514e33268,4.0,2
2776,2,FREE CATS FOR ADOPTION,12,266,266,3,1,4,7,2,1,1,1,1,1,2,0,41401,73d0a40b6e19e1d4315d83dd287a0ff0,0,"Owner is moving overseas and son has asthma. She is seeking new loving homes for her furrbabies All cats have been spayed, neutered and fully vaccinated ADOPTION IS FREE",895f73f14,3.0,2
163,1,DO RE MI,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,41326,6e7b6af9b1da8082af799a663b130144,0,"We have rescued 5 puppies, 2 have already been adopted. 3 left currently. Anyone who interest to adopt need to pay only RM30 to reimburse the vaccination charge. These puppies are extremely friendly and deserve to own a happy family. Currently i have already own a rescued pet dog, and my child is just 1 year old so that unable to keep all of them for long. Please feel free to contact me at (Jill) or (Jack) for details.",ea11b6f12,3.0,3
12033,2,Tabby,1,299,265,3,1,3,7,1,2,2,1,2,1,2,30,41326,badb959fff8f097e4901391125d910b7,0,"These 2 siblings need good home. need new owner , i have too many already. need someone can take a gud care of them. Cats very adorable, active and playful.litter trained. Eat Qiuts Tuna and SmartHeart. Please email me : ASAP. Collect at Batu Caves Area. Please bring your own cage/pet carrier. RM30 adoption fees is for the food we provided. PLEASE SMS FIRST.",7ec0fc838,3.0,1
14443,1,BLACK & WHITE,2,307,0,3,1,7,0,2,1,2,1,3,1,2,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,"These 2 babies were found with their eyes still closed...possibly abandoned by someone or something may have happened to their mama. they were bottle fed by my friend's sister, so adorable and lovable now, look like Frisian cow's markings. my friend and the sister cannot keep them as they live in an apartment...please someone kindly give them a loving home. God bless you and your family. Please call me",a89af346d,5.0,3
1777,2,Black And White (siamese),2,266,266,3,1,7,0,2,1,2,2,2,1,2,0,41326,ac1395e3104ff17bb81a08c149c27c3e,0,"I have two kittens, aged 8 weeks for adoption, one is fully black and one is white with siamese pattern.the siamese is male.the black one not sure. Mother is brown coloured siamese, both are healthy. If possible , please adopt both.",b607db8c0,3.0,3
3796,2,Noorul & Ajyei,3,265,265,3,1,4,7,2,2,2,2,2,1,2,0,41336,97f6ccd247d130c96fd1a02c678462f1,0,"White named Noorul & the stripe named Ajyei... They always play together, so I don't want to separate them ...",9498e0379,1.0,3
13169,1,Puppies For Adoption,2,119,0,3,2,0,0,3,2,1,1,2,1,3,250,41336,69a1be6d7702e9b1adc792228e1ad55f,0,Husky mixed breed,79786edcd,4.0,4
1676,2,Along & Angah,2,264,0,3,1,3,7,1,2,2,2,2,1,2,0,41326,620738f52e7700d439121290f916d653,0,"Find someone who love cat to adopt them. Along - 3 color (Black, White & Golden) Angah - 1 color (orange) They born on 9 April Healthy and playful",670535e94,4.0,2
1649,2,Taquito,3,265,0,2,1,0,0,2,2,2,2,2,1,4,0,41326,fd03fd9f89f386348188724b5a57d5c2,0,"Taquito is the smallest kitty in our litter. A little shy, but one you get to know her she is very friendly and very sweet. Available for immediate adoption. Also has other siblings that are available to adopt if you are interested in adopting in pairs or groups.",c8e776446,4.0,1
11947,2,Lovey & Dovey,2,292,266,3,5,0,0,2,1,2,1,2,1,2,0,41326,bdc8eca0f1762ecfa410dda27aaad8a8,0,"These 2 awesome babies are Siamese mix. We all work and already have 12 cats so we would like to pass these 2 babies to a home that will give them more attention and better care, time and love. We love them very much and wish we could keep them too. Looking for very seriously caring and loving adopters. Adoption is completely free with these conditions: -Must always be kept indoors -Please provide us with updates on their wellbeing -MUST neuter/spay when they are old enough -Must take them in together and keep them together",aa8e2a85d,1.0,1
10681,2,Mary,38,285,254,2,1,3,7,2,3,1,1,1,1,3,200,41401,2628a23e21e9d05bfc639ad8b3aa34de,0,"1month++ kittens with 3y/o mom. Persian long hair. toilet trained, kittens bottle milk trained. pls watspp for further info",02c39fd73,2.0,2
8318,1,Bukit & Juliet,48,141,307,3,5,0,0,2,2,3,3,1,1,2,0,41327,cac134c385c8dafbab554af1fab9fdd8,0,"Bukit is the Labrador (Male), Juliet is the Mix breed (Female), both are spayed and Juliet is in 3 limbs only. I saw them in SPCA seberang Perai and they don't belong to shelter, it must be the council which caught them and send them there. Please please please could anybody adopt them, they are best buddies and couldn't afford to separate. Ad they are not used to harsh environment in shelter. Please anybody, please help!!!!!!",af2f3a166,3.0,4
647,1,Puppy,2,307,0,3,1,2,5,1,2,2,2,2,1,7,0,41401,ac03a910e00db94df1df1328f8594cb4,0,Contact me for any enquiry about the puppy...,24d9b76ae,5.0,4
7847,1,Six Pups,1,307,307,3,7,0,0,2,2,2,2,2,1,16,0,41326,6bf1a083ea68aadcb702afcce927b2b9,0,Mother was rescued and found to be pregnant 6 health lookin pups,9243b2c43,1.0,4
1422,2,6 Twinnies,3,265,264,3,1,2,7,3,2,1,1,2,1,6,0,41327,95d916190a5dcb1efc91cd93e8de4c28,0,"Hi all... There are 6 kittens available for adoption. All has been deworm & vaccined. No adoption fees, all is free. Just take care of them & give ur love to them. Can choose which one U like male or female... Their mom just domestic short hair cat & father is persian mixed domestic short hair cat. If interested, can give me a sms/whatsapp or wechat",31b3d9b10,4.0,4
4662,1,5 Puppies For Adoption,2,307,0,3,1,2,7,2,1,3,3,3,1,5,0,41326,acb8fe0f20cbc683032b2d8c2a90bab3,0,"Mother dog deliver puppies in the drain. All puppies is healthy and cute. Currently under my care until they got adopted. Can't hold on long due have 3 more dog in my house and they are growing so urgently need adopters.. Can meet up any place within Klang Valley. Looking for pet lovers who would adopt, care, and love them.",96e9f6fd8,5.0,3
4503,1,Gonggong,3,202,307,2,2,4,7,2,2,3,3,3,1,2,0,41326,d4a321a40f5d249cf1f5ccf898314a37,0,3-4 month,84e1e59d5,24.0,1
11116,1,Spiderdogs,4,307,0,1,1,7,0,2,1,1,1,2,1,2,0,41326,e8dad08f267eaed4c351311925e3a6cc,1,"Pumpkin - Black, vaccinated, dewormed Max - White with brown spots, dewormed Pumpkin and Max are brothers. They were born on 6th Sept and are now 4months old. They have been living w my 2 other adult dogs, thus they pee and poop on the grass so adopt-er doesn't have to worry about the puppies messing up the house. They are definitely your choice if you are seeking for guard dogs as I've noticed they already started barking at postman and visitors to my hse as young as 3 months old. They are very intelligent and have strong and healthy body. They have short hair, so less worry abt dog hair on the floor! Do drop me a msg if you need more photos of the puppies!",3bedb1ef9,15.0,3
10633,2,The Kiddos,1,265,0,3,1,5,7,2,2,2,2,2,1,3,0,41401,bc1f3c7db564d97f6c8822f24e97c435,0,The mummy's kitten is a mixed breed--domestic cat and persian. And It would be very kind of you to give Prodiet catfood as an exchange to the kittens. We do feed other stray cats in our neighbourhood. Thanks for your concern ;),f792e0ff5,7.0,2
